"code","90306"
"taluk","Gadag"
"village","BELADHADI"
"lat","15.34028"
"long","75.62083"
"2007-04-01","17.48"
"2007-05-01","17.48"
"2007-06-01","17.48"
"2007-07-01","16.95"
"2007-08-01","15.95"
"2007-09-01","0"
"2007-10-01","0"
"2007-11-01","0"
"2007-12-01","0"
"2008-04-01",13.54
"2008-05-01",13.54
"2008-06-01",13.54
"2008-07-01",15.65
"2008-08-01",15.85
"2008-09-01",0
"2008-10-01",0
"2008-11-01",0
"2008-12-01",0
"2009-04-01","17.16"
"2009-05-01","17.16"
"2009-06-01","17.16"
"2009-07-01","18.03"
"2009-08-01","18.65"
"2009-09-01","0"
"2009-10-01","0"
"2009-11-01","0"
"2009-12-01","0"
"2010-01-01","Collapsed"
"2010-02-01","Collapsed"
"2010-03-01","Collapsed"
"2010-04-01","Collapsed"
"2010-05-01","Collapsed"
"2010-06-01","Collapsed"
"2010-07-01","Collapsed"
"2010-08-01","Collapsed"
"2010-09-01","Collapsed"
"2010-10-01","Collapsed"
"2010-11-01","Collapsed"
"2010-12-01","Collapsed"
"2011-01-01","Collapsed"
"2011-02-01","Collapsed"
"2011-03-01","Collapsed"
"2011-04-01","Collapsed"
"2011-05-01","Collapsed"
"2011-06-01","Collapsed"
"2011-07-01","Collapsed"
"2011-08-01","Collapsed"
"2011-09-01","Collapsed"
"2011-10-01","Collapsed"
"2011-11-01","Collapsed"
"2011-12-01","Collapsed"
"2012-01-01","Fiiled up"
"2012-02-01","Fiiled up"
"2012-03-01","Fiiled up"
"2012-04-01","Fiiled up"
"2012-05-01","Fiiled up"
"2012-06-01","Fiiled up"
"2012-07-01","Fiiled up"
"2012-08-01","Fiiled up"
"2012-09-01","Fiiled up"
"2012-10-01","Fiiled up"
"2012-11-01","Fiiled up"
"2012-12-01","Fiiled up"
"2013-01-01","Fiiled up"
"2013-02-01","Fiiled up"
"2013-03-01","Fiiled up"
"2013-04-01","Fiiled up"
"2013-05-01","Fiiled up"
"2013-06-01","Fiiled up"
"2013-07-01","Fiiled up"
"2013-08-01","Fiiled up"
"2013-09-01","Fiiled up"
"2013-10-01","Fiiled up"
"2013-11-01","Fiiled up"
"2013-12-01","Fiiled up"
"2014-01-01","Fiiled up"
"2014-02-01","Fiiled up"
"2014-03-01","Fiiled up"
"2014-04-01","Fiiled up"
"2014-05-01","Fiiled up"
"2014-06-01","Fiiled up"
"2014-07-01","Fiiled up"
"2014-08-01","Fiiled up"
"2014-09-01","Fiiled up"
"2014-10-01","Fiiled up"
"2014-11-01","Fiiled up"
"2014-12-01","Fiiled up"
"2015-01-01","Fiiled up"
"2015-02-01","Fiiled up"
"2015-03-01","Fiiled up"
"2015-04-01","Fiiled up"
"2015-05-01","Fiiled up"
"2015-06-01","Fiiled up"
"2015-07-01","Fiiled up"
"2015-08-01","Fiiled up"
"2015-09-01","Fiiled up"
"2015-10-01","Fiiled up"
"2015-11-01","Fiiled up"
"2015-12-01","Fiiled up"
"2016-01-01","Fiiled up"
"2016-02-01","Fiiled up"
"2016-03-01","Fiiled up"
"2016-04-01","0"
"2016-05-01","Fiiled up"
"2016-06-01","Fiiled up"
"2016-07-01","Fiiled up"
"2016-08-01","Fiiled up"
"2016-09-01","Fiiled up"
"2016-10-01","Fiiled up"
"2016-11-01","Fiiled up"
"2017-01-01",NA
"2017-02-01",NA
"2017-03-01",NA
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01",NA
"2017-07-01","Filled Up"
"2017-08-01","Filled Up"
"2017-09-01","Filled Up"
"2017-10-01","Filled Up"
"2017-11-01","Filled Up"
"2017-12-01","Filled Up"
"2018-01-01","Filled Up"
"2018-02-01","Filled Up"
"2018-03-01","Filled Up"
"2018-04-01","Filled Up"
"2018-05-01","Filled Up"
"2018-06-01","Filled Up"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
